Year,GMSL
1999.79726,2.545097
1999.816438,2.578109
1999.835616,2.579478
1999.854795,2.574922
1999.873973,2.54397
1999.893151,2.528994
1999.912329,2.497141
1999.931507,2.454089
1999.950685,2.420923
1999.969863,2.387927
1999.989041,2.367867
2000.008197,2.345681
2000.027322,2.281838
2000.046448,2.205453
2000.065574,2.120339
2000.0847,2.045985
2000.103825,1.991388
2000.122951,1.948563
2000.142077,1.916521
2000.161202,1.863689
2000.180328,1.811038
2000.199454,1.761843
2000.218579,1.720853
2000.237705,1.668923
2000.256831,1.613151
2000.275956,1.568074
2000.295082,1.509816
2000.314208,1.460645
2000.333333,1.432141
2000.352459,1.403066
2000.371585,1.384379
2000.39071,1.364523
2000.409836,1.3512
2000.428962,1.360706
2000.448087,1.39198
2000.467213,1.434043
2000.486339,1.455842
2000.505465,1.467724
2000.52459,1.505749
2000.543716,1.576437
2000.562842,1.663109
2000.581967,1.749317
2000.601093,1.814051
2000.620219,1.892906
2000.639344,2.006902
2000.65847,2.158076
2000.677596,2.318854
2000.696721,2.459205
2000.715847,2.569257
2000.734973,2.65428
2000.754098,2.737712
2000.773224,2.852379
2000.79235,2.939162
2000.811475,2.998759
2000.830601,3.01015
2000.849727,2.978446
2000.868853,2.916361
2000.887978,2.853002
2000.907104,2.810442
2000.92623,2.809796
2000.945355,2.772212
2000.964481,2.729329
2000.983607,2.668059
2001.00274,2.523601
2001.021918,2.476092
2001.041096,2.432452
2001.060274,2.386093
2001.079452,2.362425
2001.09863,2.321502
2001.117808,2.267158
2001.136986,2.199389
2001.156164,2.158615
2001.175343,2.13979
2001.194521,2.118326
2001.213699,2.095021
2001.232877,2.070494
2001.252055,2.029406
2001.271233,1.978636
2001.290411,1.949218
2001.309589,1.938824
2001.328767,1.926992
2001.347945,1.88702
2001.367123,1.850817
2001.386301,1.851619
2001.40548,1.887047
2001.424658,1.946799
2001.443836,2.013039
2001.463014,2.069921
2001.482192,2.130966
2001.50137,2.202769
2001.520548,2.299023
2001.539726,2.40165
2001.558904,2.473989
2001.578082,2.527264
2001.59726,2.599536
2001.616438,2.690207
2001.635616,2.806644
2001.654795,2.927424
2001.673973,3.036893
2001.693151,3.126886
2001.712329,3.205129
2001.731507,3.27698
2001.750685,3.36073
2001.769863,3.436998
2001.789041,3.485496
2001.808219,3.487973
2001.827397,3.451428
2001.846575,3.389504
2001.865753,3.38523
2001.884932,3.330285
2001.90411,3.302463
2001.923288,3.2436
2001.961644,2.994359
2001.980822,2.869119
2002,2.778116
2002.019178,2.716648
2002.038356,2.696692
2002.057534,2.680236
2002.076712,2.654334
2002.09589,2.607529
2002.115069,2.553716
2002.134247,2.516958
2002.153425,2.466339
2002.172603,2.416369
2002.191781,2.357614
2002.210959,2.291199
2002.230137,2.201562
2002.249315,2.126314
2002.268493,2.084489
2002.287671,2.050295
2002.306849,2.006723
2002.326027,1.97267
2002.345206,1.939999
2002.364384,1.916034
2002.383562,1.913032
2002.40274,1.925407
2002.421918,1.915087
2002.441096,1.907354
2002.460274,1.919896
2002.479452,1.972155
2002.49863,2.066161
2002.517808,2.169186
2002.536986,2.280162
2002.556164,2.378415
2002.575343,2.473079
2002.594521,2.560346
2002.613699,2.656283
2002.632877,2.757325
2002.652055,2.83895
2002.671233,2.888736
2002.690411,2.94641
2002.709589,3.013977
2002.728767,3.105493
2002.747945,3.171437
2002.767123,3.213778
2002.786301,3.232258
2002.80548,3.238782
2002.824658,3.251467
2002.843836,3.250598
2002.863014,3.214676
2002.882192,3.155125
2002.90137,3.070825
2002.920548,2.997502
2002.939726,2.951917
2002.958904,2.89467
2002.978082,2.846176
2002.99726,2.814931
2003.016438,2.803888
2003.035616,2.800154
2003.054795,2.78484
2003.073973,2.739088
2003.093151,2.68868
2003.112329,2.641975
2003.131507,2.611139
2003.150685,2.565307
2003.169863,2.505932
2003.189041,2.439074
2003.208219,2.375986
2003.227397,2.310157
2003.246575,2.271042
2003.265753,2.248818
2003.284932,2.23832
2003.30411,2.228178
2003.323288,2.227544
2003.342466,2.205273
2003.361644,2.181863
2003.380822,2.160363
2003.4,2.163723
2003.419178,2.177742
2003.438356,2.183042
2003.457534,2.19419
2003.476712,2.21304
2003.49589,2.231153
2003.515069,2.282964
2003.534247,2.331831
2003.553425,2.407479
2003.572603,2.498858
2003.591781,2.60895
2003.610959,2.74276
2003.630137,2.871786
2003.649315,2.992207
2003.668493,3.126134
2003.687671,3.254504
2003.706849,3.376817
2003.726027,3.478693
2003.745206,3.5725
2003.764384,3.635489
2003.783562,3.650058
2003.80274,3.664452
2003.821918,3.689743
2003.841096,3.656752
2003.860274,3.613233
2003.879452,3.58038
2003.917808,3.418249
2003.936986,3.332776
2003.956164,3.284792
2003.975343,3.241637
2003.994521,3.222051
2004.013661,3.166055
2004.032787,3.078793
2004.051913,2.976807
2004.071038,2.906862
2004.090164,2.870376
2004.10929,2.817565
2004.128415,2.73417
2004.147541,2.660856
2004.166667,2.621129
2004.185792,2.572982
2004.204918,2.542879
2004.224044,2.522356
2004.243169,2.503771
2004.262295,2.446119
2004.281421,2.386336
2004.300546,2.351121
2004.319672,2.29027
2004.338798,2.225459
